year,month,mean_temp,mean_rain
1975,2,5.5,31.7
1975,3,4.8,29.8
1975,4,7.9,53.2
1975,5,9.4,32
1975,6,13.4,18.9
1975,7,15.6,55.2
1975,8,15.5,34.4
1975,9,11,122.9
1975,10,10.1,81.6
1975,11,6.2,73.9
1975,12,5.3,50.5
1976,1,5.7,89.6
1976,2,4.9,52.9
1976,3,5.5,71.4
1976,4,7.7,27.5
1976,5,9.8,122
1976,6,14.6,35.6
1976,7,15.7,47.9
1976,8,16.1,7.7
1976,9,12.3,107.3
1976,10,8.4,139.2
1976,11,5.2,65.5
1976,12,2.1,52.7
1977,1,2.3,75.4
1977,2,4.7,137.3
1977,3,6.7,94.1
1977,4,6.7,93.2
1977,5,9.7,18.1
1977,6,11.7,83.9
1977,7,15,41.2
1977,8,13.6,76
1977,9,11.3,60.9
1977,10,10.8,91.9
1977,11,4.6,107.9
1977,12,6.3,76.2
1978,1,3.3,96.2
1978,2,3.3,71.6
1978,3,5.9,116
1978,4,6.4,37.8
1978,5,10.8,11.8
1978,6,12.1,57.9
1978,7,13.7,79.2
1978,8,13.5,60
1978,9,12.9,87.8
1978,10,11.4,41.9
1978,11,7.8,98.4
1978,12,4.3,158.6
1979,1,0.9,57
1979,2,2.3,44.8
1979,3,4.1,85.9
1979,4,6.9,62
1979,5,8.4,108.8
1979,6,12.9,31.9
1979,7,14.7,44.9
1979,8,13.1,114.6
1979,9,11.6,66.6
1979,10,10.1,105.7
1979,11,6.8,109.9
1979,12,4.4,143.6
1980,1,2.9,72.4
1980,2,5.3,93
1980,3,4.6,85.6
1980,4,8.2,28.4
1980,5,10.4,31.7
1980,6,12.4,104.3
1980,7,13.5,56.9
1980,8,14.6,99.1
1980,9,13.2,119.7
1980,10,8.3,124.9
1980,11,6.5,84.5
1980,12,5.8,107.1
1981,1,5.7,65.8
1981,2,4,61.8
1981,3,7.4,105.5
1981,4,8.1,32.5
1981,5,10.1,136.2
1981,6,12.3,109.6
1981,7,13.8,55.4
1981,8,15.1,30
1981,9,13,132.3
1981,10,6.7,75.1
1981,11,7.3,76.5
1981,12,1.7,66.3
1982,1,3.9,85.6
1982,2,5.1,81.7
1982,3,5.5,108.3
1982,4,8.2,27.9
1982,5,10,71.1
1982,6,13.5,108.9
1982,7,15.3,24.3
1982,8,13.8,83.9
1982,9,11.9,80.2
1982,10,9.1,112.7
1982,11,6.1,138.7
1982,12,3.8,111.7
1983,1,5.8,146.9
1983,2,2.9,47.5
1983,3,6.7,98.4
1983,4,5.7,75.9
1983,5,9.5,113.8
1983,6,12.9,44.8
1983,7,17.1,14.8
1983,8,16.3,61.6
1983,9,12.5,116.3
1983,10,9.3,121.2
