Years,CO2,CH4,mullingar_mean_temp,mullingar_temp_anomaly,mullingar_mean_rain,mullingar_rain_anomaly,antarctic_temp_anomaly,global_temp_anomaly
-21.97,368.02,,,,,,,
-22.0,,1771.22,9.125,0.3249999999999993,763.6,-170.69999999999993,0.16,0.55
-23.0,,1773.22,9.308333333333334,0.5083333333333329,1008.2,73.90000000000009,0.28,0.43
-24.0,,1772.33,9.725,0.9249999999999989,1046.0,111.70000000000005,0.08,0.42
-25.0,361.78,1765.54,9.791666666666666,0.9916666666666654,1091.0,156.70000000000005,0.09,0.63
-26.0,,1754.48,10.0,1.1999999999999993,938.0,3.7000000000000455,0.22,0.5
-26.72,359.65,,,,,,,
-27.0,,1751.28,8.85,0.049999999999998934,870.6,-63.69999999999993,0.59,0.36
-28.0,,1748.88,9.691666666666666,0.8916666666666657,894.4000000000001,-39.899999999999864,0.13,0.48
-28.590000000000003,357.11,,,,,,,
-29.0,,1742.07,9.0,0.1999999999999993,1016.7,82.40000000000009,0.02,0.32
-29.92,353.95,,,,,,,
-30.0,,1736.53,8.691666666666666,-0.10833333333333428,1016.9000000000001,82.60000000000014,-0.05,0.27
-30.689999999999998,353.72,,,,,,,
-31.0,,1735.47,8.866666666666667,0.06666666666666643,919.2,-15.099999999999909,0.18,0.23
-31.869999999999997,352.42,,,,,,,
-32.0,,1724.78,8.924999999999999,0.12499999999999822,881.8,-52.5,0.53,0.42
-33.0,,1714.43,9.5,0.6999999999999993,1022.1,87.80000000000007,0.14,0.45
-33.03,350.81,,,,,,,
-33.59,349.8,,,,,,,
-34.0,,1704.53,9.408333333333333,0.6083333333333325,812.5,-121.79999999999995,0.28,0.29
-34.03,349.28,,,,,,,
-34.93,347.6,,,,,,,
-35.0,,1693.28,9.041666666666666,0.24166666666666536,995.0999999999999,60.799999999999955,0.63,0.41
-35.79,345.44,,,,,,,
-36.0,,1682.7,8.666666666666666,-0.13333333333333464,852.6,-81.69999999999993,-0.03,0.33
-36.38,344.72,,,,,,,
-36.86,343.97,,,,,,,
-37.0,,1670.09,7.883333333333333,-0.9166666666666679,1081.6,147.29999999999995,-0.1,0.21
-37.24,343.11,,,,,,,
-38.0,,1657.29,8.258333333333333,-0.5416666666666679,1023.7,89.40000000000009,0.14,0.17
-38.08,342.05,,,,,,,
-39.0,,1644.85,9.0,0.1999999999999993,991.8,57.5,0.33,0.19
-39.92,341.33,,,,,,,
-39.97,339.46,,,,,,,
-40.0,,,9.375,0.5749999999999993,1001.9,67.60000000000002,0.25,0.34
-41.0,,,8.85,0.049999999999998934,1035.0,100.70000000000005,0.2,0.19
-42.0,,,8.766666666666667,-0.033333333333333215,947.0,12.700000000000045,0.29,0.35
-43.0,,1479.5,8.808333333333334,0.00833333333333286,1007.6,73.30000000000007,0.33,0.29
-43.86,334.85,,,,,,,
-44.0,,,8.016666666666667,-0.7833333333333332,975.7,41.40000000000009,0.23,0.22
